dataset,policy_id,method,seed,round,labeled_count,labeled_ratio,mean_dsc_fg
btcv_synapse,P3,CoreSet,2000,6,308,0.2,0.6904302453441368
btcv_synapse,P3,CoreSet,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P3,CoreSet,3000,1,30,0.0202,0.28769320463936154
btcv_synapse,P3,CoreSet,3000,2,60,0.0405,0.4283299300643986
btcv_synapse,P3,CoreSet,3000,3,104,0.0702,0.54314954387763
btcv_synapse,P3,CoreSet,3000,4,149,0.1005,0.5948417040642605
btcv_synapse,P3,CoreSet,3000,5,223,0.1505,0.6371074879026465
btcv_synapse,P3,CoreSet,3000,6,297,0.2004,0.6758295335892992
btcv_synapse,P4,BADGE,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P4,BADGE,1000,1,30,0.0201,0.3418403752511326
btcv_synapse,P4,BADGE,1000,2,60,0.0402,0.38998498469144854
btcv_synapse,P4,BADGE,1000,3,105,0.0703,0.48049137867056446
btcv_synapse,P4,BADGE,1000,4,150,0.1004,0.5092333652081823
btcv_synapse,P4,BADGE,1000,5,225,0.1506,0.5978348197855162
btcv_synapse,P4,BADGE,1000,6,299,0.2001,0.6285124722256361
btcv_synapse,P4,BADGE,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P4,BADGE,2000,1,31,0.0201,0.3607517780331162
btcv_synapse,P4,BADGE,2000,2,62,0.0403,0.5565818242397372
btcv_synapse,P4,BADGE,2000,3,108,0.0701,0.6035361269788041
btcv_synapse,P4,BADGE,2000,4,154,0.1,0.6401414900969814
btcv_synapse,P4,BADGE,2000,5,231,0.15,0.6812199473328766
btcv_synapse,P4,BADGE,2000,6,308,0.2,0.7060547688638287
btcv_synapse,P4,BADGE,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P4,BADGE,3000,1,30,0.0202,0.2389744252586963
btcv_synapse,P4,BADGE,3000,2,60,0.0405,0.39894899729249006
btcv_synapse,P4,BADGE,3000,3,104,0.0702,0.5335843108072323
btcv_synapse,P4,BADGE,3000,4,149,0.1005,0.5826584185226777
btcv_synapse,P4,BADGE,3000,5,223,0.1505,0.6684797200929755
btcv_synapse,P4,BADGE,3000,6,297,0.2004,0.6725650388515465
btcv_synapse,P5,Ent+Core,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P5,Ent+Core,1000,1,30,0.0201,0.3521610862082953
btcv_synapse,P5,Ent+Core,1000,2,60,0.0402,0.44522125481017305
btcv_synapse,P5,Ent+Core,1000,3,105,0.0703,0.5655352615442055
btcv_synapse,P5,Ent+Core,1000,4,150,0.1004,0.5947745411180699
btcv_synapse,P5,Ent+Core,1000,5,225,0.1506,0.5808839707738432
btcv_synapse,P5,Ent+Core,1000,6,299,0.2001,0.6218262577676517
btcv_synapse,P5,Ent+Core,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P5,Ent+Core,2000,1,31,0.0201,0.4046244345669534
btcv_synapse,P5,Ent+Core,2000,2,62,0.0403,0.529444859329728
btcv_synapse,P5,Ent+Core,2000,3,108,0.0701,0.6385959548402639
btcv_synapse,P5,Ent+Core,2000,4,154,0.1,0.6263109325010016
btcv_synapse,P5,Ent+Core,2000,5,231,0.15,0.7181005600321533
btcv_synapse,P5,Ent+Core,2000,6,308,0.2,0.7492478176885978
btcv_synapse,P5,Ent+Core,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P5,Ent+Core,3000,1,30,0.0202,0.21149308854173787
btcv_synapse,P5,Ent+Core,3000,2,60,0.0405,0.4834263667452636
btcv_synapse,P5,Ent+Core,3000,3,104,0.0702,0.5784991167597441
btcv_synapse,P5,Ent+Core,3000,4,149,0.1005,0.6729630747055718
btcv_synapse,P5,Ent+Core,3000,5,223,0.1505,0.6847632997864918
btcv_synapse,P5,Ent+Core,3000,6,297,0.2004,0.7022309085796113
btcv_synapse,P6,SelUnc,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P6,SelUnc,1000,1,30,0.0201,0.35038334793668374
btcv_synapse,P6,SelUnc,1000,2,60,0.0402,0.3657520433894211
btcv_synapse,P6,SelUnc,1000,3,105,0.0703,0.364200933026078
btcv_synapse,P6,SelUnc,1000,4,150,0.1004,0.4833738644084317
btcv_synapse,P6,SelUnc,1000,5,225,0.1506,0.49528678468182846
btcv_synapse,P6,SelUnc,1000,6,299,0.2001,0.527080462672982
btcv_synapse,P6,SelUnc,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P6,SelUnc,2000,1,31,0.0201,0.3844006488797453
btcv_synapse,P6,SelUnc,2000,2,62,0.0403,0.4225137132566919
btcv_synapse,P6,SelUnc,2000,3,108,0.0701,0.5533683924617064
btcv_synapse,P6,SelUnc,2000,4,154,0.1,0.549911228455357
btcv_synapse,P6,SelUnc,2000,5,231,0.15,0.6680742558357089
btcv_synapse,P6,SelUnc,2000,6,308,0.2,0.6337163409405534
btcv_synapse,P6,SelUnc,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P6,SelUnc,3000,1,30,0.0202,0.23748861032825816
btcv_synapse,P6,SelUnc,3000,2,60,0.0405,0.40632830290403454
btcv_synapse,P6,SelUnc,3000,3,104,0.0702,0.5214413251240272
btcv_synapse,P6,SelUnc,3000,4,149,0.1005,0.5594379225048534
btcv_synapse,P6,SelUnc,3000,5,223,0.1505,0.6087483509451546
btcv_synapse,P6,SelUnc,3000,6,297,0.2004,0.5470662621064445
btcv_synapse,P7,SAM-Core,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P7,SAM-Core,1000,1,30,0.0201,0.3245806908725912
btcv_synapse,P7,SAM-Core,1000,2,60,0.0402,0.42597207514295965
btcv_synapse,P7,SAM-Core,1000,3,105,0.0703,0.4922117524737369
btcv_synapse,P7,SAM-Core,1000,4,150,0.1004,0.554776241834178
btcv_synapse,P7,SAM-Core,1000,5,225,0.1506,0.6089601976583319
btcv_synapse,P7,SAM-Core,1000,6,299,0.2001,0.5465335171461008
btcv_synapse,P7,SAM-Core,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P7,SAM-Core,2000,1,31,0.0201,0.4157867981684645
btcv_synapse,P7,SAM-Core,2000,2,62,0.0403,0.4661615391846871
btcv_synapse,P7,SAM-Core,2000,3,108,0.0701,0.52978818519832
btcv_synapse,P7,SAM-Core,2000,4,154,0.1,0.6047444095172407
btcv_synapse,P7,SAM-Core,2000,5,231,0.15,0.6957747632759346
btcv_synapse,P7,SAM-Core,2000,6,308,0.2,0.732775868307348
btcv_synapse,P7,SAM-Core,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P7,SAM-Core,3000,1,30,0.0202,0.18636069918494869
btcv_synapse,P7,SAM-Core,3000,2,60,0.0405,0.34523240250119286
btcv_synapse,P7,SAM-Core,3000,3,104,0.0702,0.5016048192234304
btcv_synapse,P7,SAM-Core,3000,4,149,0.1005,0.5322874357391555
btcv_synapse,P7,SAM-Core,3000,5,223,0.1505,0.5937212698890729
btcv_synapse,P7,SAM-Core,3000,6,297,0.2004,0.6273949747471111
btcv_synapse,P8,TypiClust,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P8,TypiClust,1000,1,30,0.0201,0.3483448920513265
btcv_synapse,P8,TypiClust,1000,2,60,0.0402,0.45122865377122734
btcv_synapse,P8,TypiClust,1000,3,105,0.0703,0.42862675266517164
btcv_synapse,P8,TypiClust,1000,4,150,0.1004,0.5345728645301066
btcv_synapse,P8,TypiClust,1000,5,225,0.1506,0.5523173959876101
btcv_synapse,P8,TypiClust,1000,6,299,0.2001,0.6003796496718382
btcv_synapse,P8,TypiClust,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P8,TypiClust,2000,1,31,0.0201,0.45208742393536716
btcv_synapse,P8,TypiClust,2000,2,62,0.0403,0.4979200659982801
btcv_synapse,P8,TypiClust,2000,3,108,0.0701,0.5971823297030325
btcv_synapse,P8,TypiClust,2000,4,154,0.1,0.6484164793421661
btcv_synapse,P8,TypiClust,2000,5,231,0.15,0.710761043085587
btcv_synapse,P8,TypiClust,2000,6,308,0.2,0.6972520247047272
btcv_synapse,P8,TypiClust,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P8,TypiClust,3000,1,30,0.0202,0.2785268504628659
btcv_synapse,P8,TypiClust,3000,2,60,0.0405,0.39047387850070575
btcv_synapse,P8,TypiClust,3000,3,104,0.0702,0.47384015323902773
btcv_synapse,P8,TypiClust,3000,4,149,0.1005,0.5881134756031169
btcv_synapse,P8,TypiClust,3000,5,223,0.1505,0.5597396960311901
btcv_synapse,P8,TypiClust,3000,6,297,0.2004,0.6539879993268661
btcv_synapse,P9,PAAL,1000,0,28,0.0187,0.3369100570357036
btcv_synapse,P9,PAAL,1000,1,30,0.0201,0.3579198003538395
btcv_synapse,P9,PAAL,1000,2,60,0.0402,0.4138697810772744
btcv_synapse,P9,PAAL,1000,3,105,0.0703,0.4388899903874984
btcv_synapse,P9,PAAL,1000,4,150,0.1004,0.5131905026762734
btcv_synapse,P9,PAAL,1000,5,225,0.1506,0.5574041377656082
btcv_synapse,P9,PAAL,1000,6,299,0.2001,0.5770005094867142
btcv_synapse,P9,PAAL,2000,0,28,0.0182,0.3795932269132707
btcv_synapse,P9,PAAL,2000,1,31,0.0201,0.3825947744902818
btcv_synapse,P9,PAAL,2000,2,62,0.0403,0.4891095702253583
btcv_synapse,P9,PAAL,2000,3,108,0.0701,0.5315403375560804
btcv_synapse,P9,PAAL,2000,4,154,0.1,0.6141978031554244
btcv_synapse,P9,PAAL,2000,5,231,0.15,0.6945887230559503
btcv_synapse,P9,PAAL,2000,6,308,0.2,0.7145020656642762
btcv_synapse,P9,PAAL,3000,0,28,0.0189,0.24015965579460655
btcv_synapse,P9,PAAL,3000,1,30,0.0202,0.26064536826628654
btcv_synapse,P9,PAAL,3000,2,60,0.0405,0.3595206663540016
btcv_synapse,P9,PAAL,3000,3,104,0.0702,0.3477441154508452
btcv_synapse,P9,PAAL,3000,4,149,0.1005,0.5585199312376032
btcv_synapse,P9,PAAL,3000,5,223,0.1505,0.600133976201245
btcv_synapse,P9,PAAL,3000,6,297,0.2004,0.6337669835567877
busi,P0,Random,1000,0,8,0.0128,0.2868779249959307
busi,P0,Random,1000,1,13,0.0208,0.18364156434144602
busi,P0,Random,1000,2,25,0.0401,0.3857064828809964
busi,P0,Random,1000,3,44,0.0705,0.4823735366075905
busi,P0,Random,1000,4,63,0.101,0.5241366148137508
busi,P0,Random,1000,5,94,0.1506,0.5465066682295575
busi,P0,Random,1000,6,125,0.2003,0.6223785457767016
busi,P0,Random,2000,0,8,0.0128,0.40701145651966625
busi,P0,Random,2000,1,13,0.0208,0.4063886994655083
busi,P0,Random,2000,2,25,0.0401,0.43123622426527675
busi,P0,Random,2000,3,44,0.0705,0.5498478424096517
busi,P0,Random,2000,4,63,0.101,0.5398074772875509
busi,P0,Random,2000,5,94,0.1506,0.5791219774106331
busi,P0,Random,2000,6,125,0.2003,0.6269217953758348
busi,P0,Random,3000,0,8,0.0128,0.2040373888903818
busi,P0,Random,3000,1,13,0.0208,0.23699889726971635
busi,P0,Random,3000,2,25,0.0401,0.31399409157679536
busi,P0,Random,3000,3,44,0.0705,0.44013485173388095
busi,P0,Random,3000,4,63,0.101,0.5227107341087657
busi,P0,Random,3000,5,94,0.1506,0.5791785679373531
busi,P0,Random,3000,6,125,0.2003,0.605536373868481
busi,P1,Entropy,1000,0,8,0.0128,0.2868779249959307
busi,P1,Entropy,1000,1,13,0.0208,0.2987454241164882
busi,P1,Entropy,1000,2,25,0.0401,0.504377498064272
busi,P1,Entropy,1000,3,44,0.0705,0.44153379674294013
busi,P1,Entropy,1000,4,63,0.101,0.5294868686981224
busi,P1,Entropy,1000,5,94,0.1506,0.4929450326771203
busi,P1,Entropy,1000,6,125,0.2003,0.5259127053628366
busi,P1,Entropy,2000,0,8,0.0128,0.40701145651966625
busi,P1,Entropy,2000,1,13,0.0208,0.42935321680691996
busi,P1,Entropy,2000,2,25,0.0401,0.418677999218457
busi,P1,Entropy,2000,3,44,0.0705,0.415472619659506
busi,P1,Entropy,2000,4,63,0.101,0.4276091259263376
busi,P1,Entropy,2000,5,94,0.1506,0.46607389729126664
busi,P1,Entropy,2000,6,125,0.2003,0.5231431231572927
busi,P1,Entropy,3000,0,8,0.0128,0.2040373888903818
busi,P1,Entropy,3000,1,13,0.0208,0.2727216410379768
busi,P1,Entropy,3000,2,25,0.0401,0.31727589062267064
busi,P1,Entropy,3000,3,44,0.0705,0.41108780992889976
busi,P1,Entropy,3000,4,63,0.101,0.44028962374283426
busi,P1,Entropy,3000,5,94,0.1506,0.5661833320020618
busi,P1,Entropy,3000,6,125,0.2003,0.5190354337859776
busi,P2,BALD,1000,0,8,0.0128,0.2868779249959307
busi,P2,BALD,1000,1,13,0.0208,0.2832482584915808
busi,P2,BALD,1000,2,25,0.0401,0.37331195319136157
busi,P2,BALD,1000,3,44,0.0705,0.4270303508212806
busi,P2,BALD,1000,4,63,0.101,0.4586222272681321
busi,P2,BALD,1000,5,94,0.1506,0.4697736205255643
busi,P2,BALD,1000,6,125,0.2003,0.5103595615133075
busi,P2,BALD,2000,0,8,0.0128,0.40701145651966625
busi,P2,BALD,2000,1,13,0.0208,0.3683670515778766
busi,P2,BALD,2000,2,25,0.0401,0.3538872471332674
busi,P2,BALD,2000,3,44,0.0705,0.4399745282253514
busi,P2,BALD,2000,4,63,0.101,0.30870246188145156
busi,P2,BALD,2000,5,94,0.1506,0.4262912374854205
busi,P2,BALD,2000,6,125,0.2003,0.47679061874664985
busi,P2,BALD,3000,0,8,0.0128,0.2040373888903818
busi,P2,BALD,3000,1,13,0.0208,0.29977939162600775
busi,P2,BALD,3000,2,25,0.0401,0.4221874061137419
busi,P2,BALD,3000,3,44,0.0705,0.42413338106896525
busi,P2,BALD,3000,4,63,0.101,0.4384063304823246
busi,P2,BALD,3000,5,94,0.1506,0.5821681535234843
busi,P2,BALD,3000,6,125,0.2003,0.5235248180370541
busi,P3,CoreSet,1000,0,8,0.0128,0.2868779249959307
busi,P3,CoreSet,1000,1,13,0.0208,0.357037095963526
busi,P3,CoreSet,1000,2,25,0.0401,0.3720004908211386
