dataset,policy,seed,round,total_rounds,labeled_count,budget_frac,modality,target,dsc_fg_round,hd95_fg,struct_detect
busi,P0,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.62,96.50451200447206,1.0
busi,P1,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2869,,1.0
busi,P1,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.2987,,1.0
busi,P1,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.5023,,1.0
busi,P1,1000,3,6,63,0.101,ultrasound,breast_lesion,0.4926,,1.0
busi,P1,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.4941,,1.0
busi,P1,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.5293,101.71827048027404,1.0
busi,P2,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P2,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.3229,,1.0
busi,P2,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.3813,,1.0
busi,P2,1000,3,6,63,0.101,ultrasound,breast_lesion,0.5363,,1.0
busi,P2,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5221,,1.0
busi,P2,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.4937,120.30770938125958,0.9666666666666667
busi,P3,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P3,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.3225,,1.0
busi,P3,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.3821,,1.0
busi,P3,1000,3,6,63,0.101,ultrasound,breast_lesion,0.5281,,1.0
busi,P3,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5522,,1.0
busi,P3,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.6205,113.22494742925417,1.0
busi,P4,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P4,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.3199,,1.0
busi,P4,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.395,,0.9166666666666666
busi,P4,1000,3,6,63,0.101,ultrasound,breast_lesion,0.5231,,0.9833333333333333
busi,P4,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5669,,0.9833333333333333
busi,P4,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.5833,105.09440354976233,0.9833333333333333
busi,P5,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P5,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.2942,,1.0
busi,P5,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.3957,,1.0
busi,P5,1000,3,6,63,0.101,ultrasound,breast_lesion,0.4913,,1.0
busi,P5,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.4934,,1.0
busi,P5,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.5349,118.8023543295007,0.9833333333333333
busi,P6,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2869,,1.0
busi,P6,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.3086,,1.0
busi,P6,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.4257,,1.0
busi,P6,1000,3,6,63,0.101,ultrasound,breast_lesion,0.4696,,0.9666666666666667
busi,P6,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.4855,,1.0
busi,P6,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.5642,82.60722240370917,0.9833333333333333
busi,P7,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P7,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.326,,1.0
busi,P7,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.4484,,1.0
busi,P7,1000,3,6,63,0.101,ultrasound,breast_lesion,0.5012,,1.0
busi,P7,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5697,,1.0
busi,P7,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.6163,109.19480676186744,1.0
busi,P8,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P8,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.4082,,1.0
busi,P8,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.4927,,1.0
busi,P8,1000,3,6,63,0.101,ultrasound,breast_lesion,0.5955,,1.0
busi,P8,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5655,,0.9333333333333333
busi,P8,1000,5,6,125,0.2003,ultrasound,breast_lesion,0.5656,111.61445100205906,0.9833333333333333
busi,P9,1000,0,6,8,0.0128,ultrasound,breast_lesion,0.2104,,1.0
busi,P9,1000,1,6,13,0.0208,ultrasound,breast_lesion,0.3083,,1.0
busi,P9,1000,2,6,32,0.0513,ultrasound,breast_lesion,0.4651,,0.9833333333333333
busi,P9,1000,3,6,63,0.101,ultrasound,breast_lesion,0.4686,,0.95
busi,P9,1000,4,6,94,0.1506,ultrasound,breast_lesion,0.5613,,1.0
